"name","cluster"
"tRF-16-245J7KE","3"
"tRF-16-3KJBP1B","7"
"tRF-16-3VL8W1B","4"
"tRF-16-4RRWRBD","4"
"tRF-16-4ZUPX1B","3"
"tRF-16-6NMH49B","1"
"tRF-16-73FJQ4D","4"
"tRF-16-79MP9PD","1"
"tRF-16-7P596VE","3"
"tRF-16-88481DD","6"
"tRF-16-8S68L5D","2"
"tRF-16-8S746DD","1"
"tRF-16-8SQ2SVD","4"
"tRF-16-8Y3DUVD","4"
"tRF-16-8Z1MQ8E","7"
"tRF-16-9L5HJVE","8"
"tRF-16-9L5HMVE","4"
"tRF-16-9NH5SYD","4"
"tRF-16-B4ZPEKD","5"
"tRF-16-DWY2MJE","8"
"tRF-16-H48V7KE","7"
"tRF-16-H9R8B7D","6"
"tRF-16-HKFZB1D","7"
"tRF-16-J3LPWRD","3"
"tRF-16-JIH6Z3D","3"
"tRF-16-K8M0W1B","7"
"tRF-16-L85J3KE","7"
"tRF-16-ML5F82D","8"
"tRF-16-NKMB01B","7"
"tRF-16-Q01LQKB","3"
"tRF-16-Q1Q89PE","7"
"tRF-16-R959KUD","8"
"tRF-16-RPM830D","2"
"tRF-16-RXSINHE","6"
"tRF-16-S4113KE","6"
"tRF-16-S8V0J80","1"
"tRF-16-UEDP5IE","7"
"tRF-16-V2QXBRD","3"
"tRF-16-W3FJHPB","4"
"tRF-16-WJQ72SD","7"
"tRF-16-XEKJ5R0","6"
"tRF-16-YKISQID","1"
"tRF-16-YPSV17D","3"
"tRF-16-YRI7XUD","2"
"tRF-16-YSQSD2D","6"
"tRF-17-08P2B52","6"
"tRF-17-09Z51UJ","6"
"tRF-17-0JVRI85","6"
"tRF-17-0P5830P","3"
"tRF-17-0VL8K8N","7"
"tRF-17-18V0LWM","8"
"tRF-17-1EWJQ72","2"
"tRF-17-1OHE103","8"
"tRF-17-1SS2P44","6"
"tRF-17-1SS2PMH","7"
"tRF-17-2QW18FK","7"
"tRF-17-2YU04DQ","4"
"tRF-17-37YF7D2","4"
"tRF-17-3JVIJM4","7"
"tRF-17-45LSM1K","6"
"tRF-17-4RRQRBJ","7"
"tRF-17-596VW6J","6"
"tRF-17-60MV9JJ","6"
"tRF-17-73FJQ43","6"
"tRF-17-7X9PN53","6"
"tRF-17-83ML5F5","4"
"tRF-17-86Z34J2","8"
"tRF-17-88481D2","4"
"tRF-17-8S746D2","7"
"tRF-17-96L85DK","6"
"tRF-17-9MH57SJ","7"
"tRF-17-9N15WVN","6"
"tRF-17-9NH5SY3","7"
"tRF-17-BE7XO8M","5"
"tRF-17-BM32LJJ","5"
"tRF-17-BZOS4Y1","4"
"tRF-17-D7M4615","5"
"tRF-17-D8V0L9M","6"
"tRF-17-DP5IUDJ","3"
"tRF-17-E8Q2B52","7"
"tRF-17-EH623KN","7"
"tRF-17-EH6KK8N","7"
"tRF-17-EY0VWUJ","4"
"tRF-17-H5KQBFJ","8"
"tRF-17-H7PU4HJ","4"
"tRF-17-H9R8B7J","6"
"tRF-17-HR0P1SJ","8"
"tRF-17-HRH7MSJ","4"
"tRF-17-HSRVK7J","6"
"tRF-17-I3FJQS3","1"
"tRF-17-I7L7P5M","6"
"tRF-17-INVDRI2","4"
"tRF-17-JIH6Z33","3"
"tRF-17-JMRPFQ2","4"
"tRF-17-KE6KM8N","4"
"tRF-17-MBQ4NKJ","7"
"tRF-17-ME6KM8N","6"
"tRF-17-MMUKLYK","4"
"tRF-17-MQ5JK8N","8"
"tRF-17-PSJ9852","7"
"tRF-17-Q72S3HM","7"
"tRF-17-R3IEWSN","4"
"tRF-17-S79PVO1","4"
"tRF-17-U45O6QP","1"
"tRF-17-V2QXBRJ","7"
"tRF-17-W3FJHP1","4"
"tRF-17-WJQ72SJ","4"
"tRF-17-XRPM46J","6"
"tRF-17-Y9PYKHK","6"
"tRF-17-YPSV17J","3"
"tRF-18-078SUXD2","3"
"tRF-18-0JVRI803","5"
"tRF-18-0P583004","7"
"tRF-18-0RSH66D2","7"
"tRF-18-184KISD8","8"
"tRF-18-18Y3E7D8","7"
"tRF-18-1EWJQ7D1","3"
"tRF-18-2OOIQOD5","3"
"tRF-18-2VR0PSDZ","7"
"tRF-18-31QJ3K05","1"
"tRF-18-4E6L1F0P","4"
"tRF-18-4RRQRBD2","7"
"tRF-18-5LDOV2DW","8"
"tRF-18-6NMH49V","7"
"tRF-18-6XQ6S80H","4"
"tRF-18-73J6M9DV","6"
"tRF-18-73V2Y8DM","4"
"tRF-18-7P596V03","1"
"tRF-18-821IQ405","7"
"tRF-18-83ML5F02","6"
"tRF-18-86J8WPD4","8"
"tRF-18-86KP6HD2","4"
"tRF-18-890Y5FD2","7"
"tRF-18-8FFDXXW","6"
"tRF-18-8O90Q4DZ","6"
"tRF-18-9N15WV0E","6"
"tRF-18-9N1EWJDW","4"
"tRF-18-B4ZPEKD5","4"
"tRF-18-B689XXD2","7"
"tRF-18-BE7XO8DW","8"
"tRF-18-BP4MJY0D","3"
"tRF-18-D9W1X6DM","4"
"tRF-18-DP5IUDDJ","7"
"tRF-18-E6199M0J","6"
"tRF-18-EFOK8YDZ","6"
"tRF-18-EHBK8RDZ","7"
"tRF-18-F9LKXN05","6"
"tRF-18-H5KQBFD2","4"
"tRF-18-H7S84HD2","8"
"tRF-18-HR07MSD2","2"
"tRF-18-HR0ZMSD2","5"
"tRF-18-HRF867D2","7"
"tRF-18-HRMF3RV","6"
"tRF-18-HRMFWRV","4"
"tRF-18-HSQS52D2","6"
"tRF-18-IRMM12V","7"
"tRF-18-J6K6UDV","8"
"tRF-18-JMRPFQDH","7"
"tRF-18-JMRPFQDY","6"
"tRF-18-JOWU1M00","7"
"tRF-18-KR6946D2","4"
"tRF-18-M91MP3D5","3"
"tRF-18-ML5F92D5","7"
"tRF-18-N1EH6KDJ","7"
"tRF-18-NB8PLMDL","1"
"tRF-18-NRDF7UDJ","4"
"tRF-18-NXJMFK05","8"
"tRF-18-OB9ZFHD9","8"
"tRF-18-ON4VN18","4"
"tRF-18-PSQP4P0K","7"
"tRF-18-Q1Q89P04","7"
"tRF-18-RPM830D4","4"
"tRF-18-RXSINH0P","7"
"tRF-18-S3M83004","7"
"tRF-18-S5S8R6D2","6"
"tRF-18-S8V0J6DR","3"
"tRF-18-SBKKRSDL","7"
"tRF-18-SR0P1SD2","4"
"tRF-18-UL6JYBDJ","3"
"tRF-18-W3FJHPW","5"
"tRF-18-WKXU53DJ","2"
"tRF-18-X3HRL70D","6"
"tRF-18-XEKJ5RDS","4"
"tRF-18-Y8L981DV","6"
"tRF-18-YRLHR0D2","1"
"tRF-18-Z3M8ZL0D","7"
"tRF-18-Z90668DJ","6"
"tRF-18-Z906R8DJ","7"
"tRF-18-ZKXU53DJ","4"
"tRF-19-0M0RHBFV","6"
"tRF-19-188MEN1V","7"
"tRF-19-18Y3E7IN","6"
"tRF-19-1EWJQ7FV","8"
"tRF-19-1PSJPMFD","1"
"tRF-19-27NXJ4E2","8"
"tRF-19-2EK8E01J","5"
"tRF-19-2OOIQOH2","3"
"tRF-19-392J1YEJ","4"
"tRF-19-3L7L731D","7"
"tRF-19-69M8LOJX","4"
"tRF-19-73V2Y81W","3"
"tRF-19-73VL4YHE","6"
"tRF-19-76RSJMJJ","3"
