,1_10115_88_S4,1_70008_mor_imp,10_40039_S11,10_90002_mor_det,11_10102_mor_det,11_40044_S12,12_20042_eve_det,12_40035_S13,13_10119_94_S14,13_90006_eve_det,14_10104_eve_det,14_40003_S15,15_40047_S16,15_Control_blood_9,16_10103_I1,16_Control_blood_11,17_10108_I2,17_Control_blood_12,18_10136_I3,18_Control_blood_13,19_10141_I4,19_Control_blood_14,2_10131_83_S5,2_40058_mor_imp,20_10155_I5,20_Control_blood_15,21_10181_I6,21_Control_blood_16,22_10100_D1,22_Control_blood_17,23_10116_D2,23_Control_blood_18,24_10145_D3,24_Control_blood_19,25_10146_D4,26_10156_D5,27_30057_D6,3_10166_mor_imp,3_10189_45_S6,4_10177_eve_imp,4_90003_S7,5_10171_eve_imp,5_40026_S8,6_30065_S9,6_40049_eve_imp,7_30040_mor_det,8_60004_mor_det,9_30053_mor_det,9_30074_50_S10
tRF-16-9RQ4R90,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-16-9VZVEHE,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-B4ZPEKD,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,
tRF-16-BE7XO80,,,,,3,,1,1,,,1,,,1,,,,,,,,,1,,,,,,,1,,,,,,1,,,,1,,,,,,,,,
tRF-16-BM32LJD,2,2,4,3,1,1,4,,1,3,2,,3,3,,2,,,,4,,5,1,6,1,2,3,2,,,,1,,,2,,2,3,,6,,2,1,,2,4,2,1,1
tRF-16-BMW3RDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
tRF-16-BRX9QV0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,
tRF-16-BS68BFD,2,2,5,1,4,1,12,2,5,6,15,2,5,,,8,4,2,,6,2,9,1,2,1,3,,6,1,8,2,16,2,10,2,1,3,6,4,4,2,5,2,1,10,2,11,5,5
tRF-16-D6MSRMB,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
tRF-16-D7M461E,3,1,1,,2,,,2,,,,3,1,,2,1,1,,1,1,,1,1,,,3,1,4,,3,,1,1,1,1,,1,1,,,1,,2,,,2,1,,1
tRF-16-D7M4O1E,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
tRF-16-D81H93E,1,,,,1,,,,2,1,,,,,,,1,,1,1,,2,,1,,,,,,,3,,,,,,2,,2,1,2,,2,,,,,,1
tRF-16-D9Z1X6D,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-DE8P7SB,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-DF7UK80,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-DJQ8IX0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
tRF-16-DJXW7SB,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
tRF-16-DR2RWM0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
tRF-16-DR2SN1B,1,3,,4,1,,7,4,5,,8,,1,1,,1,1,,2,1,2,1,1,3,,,,3,1,3,1,9,,1,1,,2,,,1,,2,2,2,3,1,4,,2
tRF-16-DR2SNIB,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
tRF-16-DR3J09D,,1,,,1,1,,1,,1,,,,,,,,,,,,,1,,,,,2,1,,,,,,,,,2,,1,,,,,1,1,1,1,
tRF-16-DRFU8U0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
tRF-16-DRJRWM0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,1,1,,,,,1,
tRF-16-DRR4KRE,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-DRXSE50,,,,,,,,,,1,1,,,,,,1,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
tRF-16-DWY2MJE,2,,,,3,,1,2,1,,,,,,,,,,,2,,2,3,,,1,,1,1,1,,3,,,,,,,2,,,,4,1,1,1,,,1
tRF-16-E3FVSYB,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,
tRF-16-E8Q2B5D,,,,,,,,,,,1,,,,,,,,1,,1,,,1,,,,,,,,,,1,,,,,,,1,,,,1,,,,2
tRF-16-E8R959D,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-EH623K0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
tRF-16-ENL7250,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-EY0VWUD,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
tRF-16-F0QV7ND,,,,1,1,,1,2,,1,1,,,,2,5,4,1,2,,1,,1,,3,2,1,1,,2,,2,2,1,1,3,3,2,,,2,2,,,1,2,,2,1
tRF-16-F8DHXY0,1,,,,1,,1,2,2,,,,,,,,,,1,,,,2,,,,,,,1,,,,,,,,,6,1,,1,1,,3,,,5,
tRF-16-FKVH6M0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-FKWE6M0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,
tRF-16-FMF0QV0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
tRF-16-FPZD3KD,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-FPZD3KE,,1,,,,,,,,,1,,,1,,,1,1,,,,,,,1,1,,1,,,,,1,,1,,,2,3,,,,,,3,2,,,
tRF-16-FSXMSL0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-16-FW6SF8E,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-H0QMXND,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-H48V7KE,,,5,,2,,1,,,,1,,,1,2,,1,1,1,2,,,,1,,1,,,1,1,,,,,,,,3,,,2,2,,2,1,1,,1,
tRF-16-H6QE30E,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,
tRF-16-H7PU4HD,,2,1,1,,,1,,,1,3,1,,1,,5,1,1,,3,1,4,,,,4,,4,1,1,1,10,,7,1,,,3,,2,1,3,,1,1,2,3,5,3
tRF-16-H9R8B7D,,,,1,1,,1,1,,,,,,2,,7,,1,,2,,,,,,2,,1,,3,,4,,1,,,,1,,,2,,,,,,1,,
tRF-16-HPDJXW0,,,,,,,2,,,,,,,,,,,,1,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,2,,,
tRF-16-HR07MSD,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-HR0P1SD,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-16-HR0VX6D,33,44,43,46,38,7,107,48,63,28,119,36,30,12,28,38,23,23,32,33,20,53,29,26,24,5,16,26,16,23,27,75,13,31,16,16,17,31,65,42,33,60,37,41,59,18,78,67,81
tRF-16-HRMF3RB,1,7,3,6,1,,11,11,5,3,18,4,2,,1,6,8,,1,6,7,4,2,4,2,,5,3,1,3,6,21,2,3,6,2,,4,4,4,4,6,1,,4,4,27,1,8
tRF-16-HRMFWRB,1,1,1,,,,2,,,1,3,1,2,1,,,,,2,1,,,1,3,1,,1,3,,1,2,3,,1,1,,,,,,,1,,,3,1,6,1,
tRF-16-HSQS52D,,1,,3,,,,,,,,,,,,2,,,,,,1,,,,,,1,,,,2,,3,,,,,,,,,1,,,,,,
tRF-16-HSQSD2D,,,,,,,,,,,1,1,,2,,2,,1,,1,,,,,,,,1,,2,,,,1,,,,2,,,,1,,,1,,,1,
tRF-16-HSRVK7D,,1,,1,3,,1,,,1,1,,,1,,,1,,1,1,,7,1,,1,1,,2,,,,,,,,1,,,2,,,,,,,1,4,,
tRF-16-I0PRRND,,2,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
tRF-16-I1LQ3RB,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-I26WRND,1,1,1,1,,1,2,4,,2,4,,,1,2,4,,3,1,1,,1,1,1,1,2,,2,2,1,1,6,,6,,,,,1,1,,,1,,5,,,2,
tRF-16-I3FJQSD,,,,,,,,,,,,,,2,,1,,1,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,
tRF-16-I3FVSYB,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
tRF-16-I7L7P50,5,3,9,6,3,,7,7,4,2,7,3,5,5,2,16,3,8,1,7,,11,1,1,3,9,1,4,1,3,1,12,3,9,2,1,1,5,6,3,5,4,6,5,12,2,8,6,10
tRF-16-I7MN93D,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-I7XUK80,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,2,,,,,,1,,1,,,,,,,,,
tRF-16-I958M80,12,9,8,3,10,2,23,45,39,6,10,25,23,9,10,66,7,22,5,10,13,18,16,3,7,5,2,9,1,13,9,20,11,31,3,4,12,19,15,4,11,18,7,12,43,3,29,13,22
tRF-16-IEWSNY0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-IJ7KYUB,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-IMLWRND,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-INVDRID,4,8,10,14,48,11,41,11,14,5,8,3,,10,4,10,4,15,,32,1,10,31,7,6,24,1,25,1,19,3,10,1,13,1,,,13,31,19,21,11,14,6,12,9,3,16,5
tRF-16-IR1NLID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
tRF-16-IR69OKB,1,,,,,,,,,1,,,,1,,1,,,,,,,,,,,1,,,1,,,,2,,,,,,,,,,,1,,,,
tRF-16-IRM1BVB,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,4,,
tRF-16-IRMJ6VB,,1,,,1,,,,,,,,,,,1,,1,,1,1,,,,,,,,1,,,,,,,2,,1,,,,1,,,2,,,1,
tRF-16-ISQI45D,,,,,1,,,1,1,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-16-IWQ7PHD,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-16-IWRNL3D,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
tRF-16-J36RRND,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-J3LPWRD,,1,,,,,1,,,,,,,2,,2,,,,,,1,,,,,,,,,,4,,,,,,,,,,,,,1,1,,1,
tRF-16-J4S2QHE,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
tRF-16-J81H93E,28,20,36,11,7,16,40,64,83,9,19,35,45,21,14,117,23,19,15,8,30,23,19,3,15,9,7,9,11,13,36,62,12,66,4,9,10,11,56,6,60,27,25,27,50,3,31,39,37
tRF-16-J96YYDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-16-J9ZH0S0,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,1,,,1,
tRF-16-JB6YMWE,1,1,,,2,,1,1,3,1,1,1,3,3,2,3,,3,,,,2,,2,1,1,,1,,2,,1,,5,,,,1,4,1,,,,2,,1,1,,1
tRF-16-JBRYMWE,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-JHHS19B,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-JKIWRND,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-16-JKW4690,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
tRF-16-JM5PFQ0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-JMRPFQB,,,1,,,,,,,,,,,,,1,,,,,,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,
tRF-16-JMRPFQD,,,,,,,,,,,,,,,,1,,1,,3,,1,,,,2,,4,,,,,,1,1,,,,,,,1,,,,,,1,
tRF-16-JNORRND,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,
tRF-16-JOKP1M0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,
tRF-16-JOWU1M0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-JQSSM80,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,
tRF-16-JZL4Q40,,,,,,,,,1,,1,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,
tRF-16-K1MKE1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-16-K2821I0,2,2,,,1,1,3,1,,,1,1,,1,,4,,2,,2,,3,1,1,,3,,1,,2,,2,,6,1,,,2,,1,2,,,,3,1,4,3,
tRF-16-K53SW1B,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
tRF-16-K5NSW1B,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-K7VZ0RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-16-K7VZ41B,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-K8KDP1B,1,2,,2,3,,1,1,1,2,4,,1,,1,1,1,2,,4,,1,,3,4,,,1,,2,1,1,3,,1,,1,,,,1,1,4,1,2,1,1,2,1
tRF-16-K8QJP1B,,2,1,4,1,,2,4,2,,2,1,4,1,1,3,2,,2,4,,4,,2,1,1,2,3,,1,,6,2,2,1,,,1,2,3,,2,,1,2,,3,1,2
tRF-16-KE6KM80,,,,,,3,,1,,,,,,,,1,,,,,1,,,,,,,1,1,,,,,1,,,,,1,1,,,,,,1,,,
tRF-16-KHM26R0,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,
tRF-16-KJWB61B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
tRF-16-KK5Y93E,1,,,1,1,,,1,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,1,,,,
tRF-16-KKRSL3E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
tRF-16-KNNVOR0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,
tRF-16-KQ3SW1B,,,,2,2,,1,1,,,1,,,,,,,,,,,,1,,1,1,,,,,,1,1,3,,,,,1,,,1,,1,,,,,
tRF-16-KQI34J0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
tRF-16-KS8WP9D,1,1,,1,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
tRF-16-KSLP7SB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
tRF-16-KY8PQ1B,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-L4KVH7D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
tRF-16-L4KVI7D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
tRF-16-L4Q4R90,,,,,,,1,,1,,,,2,,1,2,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,1,,,3,,
tRF-16-L8387SB,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-L85J3KE,2,,3,6,4,,4,1,3,,3,2,1,2,,2,1,1,1,1,,,1,,,2,,2,,,1,5,1,,,1,,1,1,,3,1,,1,4,,4,5,
tRF-16-L8K87SB,,1,,2,,,1,4,,1,,1,,,,2,,,,,,,,2,,,,1,,1,1,,,1,,1,,6,,,1,3,,1,3,1,2,1,
tRF-16-L981PV0,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-LB3KMBB,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-LBRY73E,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-LD3VWI0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-LE2WMKE,,,,,,,,,1,,1,,,,,1,,,,1,,,,,,1,,,,,,,,,1,1,,,,,1,1,1,,1,,,2,
tRF-16-LEK5LYD,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,
tRF-16-LEKPM4D,,,,,,,,,,,,,,,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,
tRF-16-LEKQ3SE,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
tRF-16-LM3KMBB,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-LM3KZS0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-LMK827D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
tRF-16-LMK8J7D,1,4,,1,1,2,6,3,1,2,1,,,1,1,1,,,1,1,,5,1,2,1,,1,4,,1,1,1,,,,,1,2,1,2,,9,,,2,3,8,2,2
tRF-16-LN3JWB0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-LNK8KD0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-LNK8KE0,1,3,,,2,2,5,2,1,3,2,,1,,2,1,1,2,,1,,3,1,3,,4,3,2,,,4,5,,2,,,1,7,,,,6,,2,3,,2,4,1
tRF-16-LNK8KQ0,,,,,,,1,,,4,,,,1,,1,,,,,1,,,,1,,,,,,,,,1,,,,,1,,,,,,1,,,,1
tRF-16-LNK8QJ0,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,2,,,,,,1,,1,,,,,,,,,
tRF-16-LNKSEK0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
tRF-16-LR6XQ60,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,
tRF-16-LSN3S30,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-LUD3KS0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-LY7L73B,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
tRF-16-M0NK5YE,,3,,,,,,,,1,2,,,1,1,2,,1,,,,2,,,,,,2,,,,,,1,,,,,,1,,,1,,,,1,,1
tRF-16-M0Q4R90,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-M1M3WEE,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,2,,1,1,
tRF-16-M26RRNE,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
tRF-16-M8ZLSSE,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-MBQ4NKD,3237,4480,2032,2177,2432,939,3635,3211,2608,1556,3405,2576,2200,2407,866,6892,659,3260,609,4060,523,3252,1573,1884,614,3327,655,2229,389,2558,532,7089,614,5231,437,396,916,2229,2393,4050,2124,4733,1873,2524,5339,2602,4425,3502,2918
tRF-16-ME6KM80,2,1,3,2,2,1,8,2,5,,,2,1,2,,6,4,5,,2,1,2,,3,,1,2,,1,,1,4,1,6,1,3,2,2,7,1,3,4,3,4,6,,6,5,5
tRF-16-MK5XQ6B,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-MK7LQ60,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,
tRF-16-MKQ4R90,3,1,1,,,,1,3,,,2,1,,1,,4,,,1,,1,,,1,,,,,,1,1,,,1,,1,,1,1,,,,,1,1,,3,1,
tRF-16-MKQ4R9B,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-ML5F82D,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-16-ML5HMVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
tRF-16-MLQHWUD,,,1,,2,,1,,,1,1,2,,5,1,2,1,2,,1,,1,1,1,,4,,3,,4,,,2,4,1,,2,1,1,4,,3,,,,2,,1,1
tRF-16-MMUKLY0,,,,,,,,,,,,,,2,2,,,1,,,,,,,,,,1,,,,3,,2,,,,,,,,,,,,,,,
tRF-16-MMUKLYD,,3,,1,,,1,,,,1,,,,,1,,2,,,,1,,1,,,,3,1,2,,4,1,1,,,,1,,,,,1,,,1,1,,
tRF-16-MPW4PU0,7,9,13,6,6,,1,9,6,5,5,6,4,10,,1,2,11,2,7,1,10,3,4,2,8,2,13,1,4,4,7,3,8,4,2,1,6,3,7,9,9,5,3,12,3,7,7,3
tRF-16-MQ5JK80,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,
tRF-16-NB8PLMD,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-NFLWRND,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-NKMB01B,,,,,,,,,,,1,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-NPSV9ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-16-NS5J7KE,10,10,2,3,6,,6,7,9,1,7,9,7,5,1,22,2,5,1,5,,4,3,7,1,2,2,2,2,,2,14,1,27,1,,3,8,6,2,2,3,9,5,12,1,,11,2
tRF-16-NY2V7KE,11,6,7,6,9,2,15,7,4,4,11,5,4,7,1,18,2,12,4,8,5,17,2,2,3,8,2,6,,4,4,17,4,22,1,1,2,8,4,5,1,8,,,27,5,6,13,4
tRF-16-OB9ZFH0,,,1,2,2,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,1,,,,,,,,,,1
tRF-16-ODMJ6BD,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-OKNH990,,,,,,,,,,,,,,,,,2,,,,3,,,,2,,2,,1,,1,,,,2,,,,,,,,,,,,,,
tRF-16-OMK1QVD,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-OSRNLND,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-P41M3KE,2,,1,,,,,1,1,,,1,1,,,,,,,1,1,,1,,,1,,,,,,1,,,,,,,,,,,1,1,,,1,,
tRF-16-P42U6RD,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,
tRF-16-P5QK11D,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,
tRF-16-PFM87SB,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-PJ5830E,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-PNMI7OD,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-PS5PYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-16-PSJ985D,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,2,,,1,
tRF-16-PSQP4PE,10,20,4,9,12,1,17,8,13,8,19,10,5,16,12,67,15,29,9,20,12,17,9,9,13,21,11,10,1,20,19,49,9,54,15,2,17,11,5,14,6,13,8,5,23,3,14,7,7
tRF-16-PSR9O9D,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-Q01L7KB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
tRF-16-Q01LQKB,16,11,11,6,3,1,14,15,15,1,9,12,9,6,8,19,6,18,6,4,,3,3,2,9,8,4,7,1,6,2,15,2,14,2,7,3,11,13,3,10,9,8,10,16,4,5,21,11
tRF-16-Q01M3KE,1,,2,6,,,,,1,,,,,,,,1,4,,,1,,,1,,,,,,1,,1,,,1,,1,1,1,2,1,1,,,2,,1,1,1
tRF-16-Q1Q89PE,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-Q2FWQ80,11,27,4,14,18,3,20,6,5,19,30,10,4,16,8,45,7,18,5,46,2,24,1,20,1,22,1,13,2,16,3,50,3,33,5,3,6,23,9,36,9,29,3,,32,18,30,22,5
